hit_date,hit_isoweek,hit_month,hit_quarter,hit_year,hit_isoyear,hit_brandname,hit_parentcompany,hit_brandtype,hit_brandsubtype,hit_value
2018-03-18,11,3,1,2018,2018,saatva,saatva,manufacturer,disruptor,217927.0
2018-03-18,11,3,1,2018,2018,leesa,leesa,manufacturer,disruptor,135432.0
2018-03-18,11,3,1,2018,2018,loom & leaf,saatva,manufacturer,disruptor,84832.0
2018-03-18,11,3,1,2018,2018,Nest Bedding,Nest Bedding,manufacturer,disruptor,32126.0
2018-02-18,7,2,1,2018,2018,Sapira Sleep,Leesa,manufacturer,disruptor,
2018-03-18,11,3,1,2018,2018,Helix,Helix,manufacturer,disruptor,32140.0
2018-03-18,11,3,1,2018,2018,Avocado Mattress,Avocado Mattress,manufacturer,disruptor,30574.0
2018-02-18,7,2,1,2018,2018,Dream Bed,mfrm,manufacturer,disruptor,
2018-03-18,11,3,1,2018,2018,ghost bed,ghost bed,manufacturer,disruptor,53565.0
2018-03-18,11,3,1,2018,2018,Zen Haven,Saatva,manufacturer,disruptor,38975.0
2018-03-18,11,3,1,2018,2018,cocoon,tsi,manufacturer,disruptor,13651.0
2018-03-18,11,3,1,2018,2018,Wink Beds,Wink Beds,manufacturer,disruptor,9567.0
2018-03-18,11,3,1,2018,2018,Bed In a Box,Bed In a Box,manufacturer,disruptor,19319.0
2018-03-18,11,3,1,2018,2018,Nolah,Nolah,manufacturer,disruptor,16031.0
2018-03-18,11,3,1,2018,2018,Sleep Eve,Sleep Eve,manufacturer,disruptor,1646.0
